item,id
Egg McMuffin,1
Egg White Delight,2
Sausage McMuffin,3
Sausage McMuffin with Egg,4
Sausage McMuffin with Egg Whites,5
Steak & Egg McMuffin,6
"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",7
"Bacon, Egg & Cheese Biscuit (Large Biscuit)",8
"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",9
"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",10
Sausage Biscuit (Regular Biscuit),11
Sausage Biscuit (Large Biscuit),12
Sausage Biscuit with Egg (Regular Biscuit),13
Sausage Biscuit with Egg (Large Biscuit),14
Sausage Biscuit with Egg Whites (Regular Biscuit),15
Sausage Biscuit with Egg Whites (Large Biscuit),16
Southern Style Chicken Biscuit (Regular Biscuit),17
Southern Style Chicken Biscuit (Large Biscuit),18
Steak & Egg Biscuit (Regular Biscuit),19
"Bacon, Egg & Cheese McGriddles",20
"Bacon, Egg & Cheese McGriddles with Egg Whites",21
Sausage McGriddles,22
"Sausage, Egg & Cheese McGriddles",23
"Sausage, Egg & Cheese McGriddles with Egg Whites",24
"Bacon, Egg & Cheese Bagel",25
"Bacon, Egg & Cheese Bagel with Egg Whites",26
"Steak, Egg & Cheese Bagel",27
Big Breakfast (Regular Biscuit),28
Big Breakfast (Large Biscuit),29
Big Breakfast with Egg Whites (Regular Biscuit),30
Big Breakfast with Egg Whites (Large Biscuit),31
Big Breakfast with Hotcakes (Regular Biscuit),32
Big Breakfast with Hotcakes (Large Biscuit),33
Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),34
Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),35
Hotcakes,36
Hotcakes and Sausage,37
Sausage Burrito,38
Hash Brown,39
Cinnamon Melts,40
Fruit & Maple Oatmeal,41
Fruit & Maple Oatmeal without Brown Sugar,42
Big Mac,43
Quarter Pounder with Cheese,44
Quarter Pounder with Bacon & Cheese,45
Quarter Pounder with Bacon Habanero Ranch,46
